Feature,Coefficient
poutcome_success,2.3719948783959173
month_oct,1.458733327303041
month_mar,1.1343206657420812
age_group_60+,0.7548448426049161
job_retired,0.5480174860644369
month_dec,0.545291562294207
poutcome_other,0.5421080999605568
default_yes,0.40957922223054977
age_group_<30,0.40764227632216365
month_sep,0.2968301762377139
previously_contacted_Yes,0.27374317555855804
job_entrepreneur,0.2721035841358132
poutcome_unknown,0.268392263340534
education_secondary,0.22130395841794226
job_unknown,0.216605953456261
job_housemaid,0.2000135603043572
job_student,0.19048685786643882
education_tertiary,0.1521805299175771
job_management,0.14589741142878426
month_jun,0.12679569558861292
previous,0.05568796627342823
age_group_40-49,0.049373451032521276
job_self-employed,0.042784144330374085
age,0.006914441620392618
pdays,0.0049219182185422945
day,-0.0010203264791265251
contact_frequency_4+ contacts,-0.013495656352889601
age_group_50-59,-0.07000050610963801
month_feb,-0.11158015420697491
job_blue-collar,-0.12018434841019823
marital_single,-0.13281736973878025
job_technician,-0.14530448168460908
campaign,-0.16840101328058527
housing_yes,-0.17377514423242493
contact_telephone,-0.17502432842519752
job_services,-0.19433765560292487
contact_frequency_2-3 contacts,-0.20251542885579418
month_aug,-0.2251132704992122
balance,-0.2764031527809525
month_jul,-0.2850211333409935
education_unknown,-0.3130616403638961
month_may,-0.4577686262279705
marital_married,-0.5144934990104241
job_unemployed,-0.5474689773603001
loan_yes,-0.5932841969367612
month_nov,-0.6795213377744521
balance_group_Medium (501-2000),-0.7598113837577003
balance_group_Negative,-0.8453090642630902
contact_unknown,-0.8873346621803815
balance_group_Low (0-500),-0.9506255727982655
month_jan,-1.0919080613128105
